012018	0117CA
0123	0117B7,0117CD
0124	0117DB
0125	0125
0126	0117D0
012B	0117CE
012C	0117D2,011794
012D	012D
012E	0117D4
012E,016C,012E	0117D8
012F	012C
0130	0117E0
0131	0117E1
0132	0117E2
0133	0117E3
0134	0117E4
0135	0117E5
0136	0117E6
0137	0117E7
0138	0117E8
0139	0117E9
013A	0117D2,011782
013B	0117D2,011780
013C	0117D2,011796
013D	012B
013E	0117D5
0140	0117D7
0141	0117C5
0142	011796
0142,01A7	0117B0
0143	011787
0144	01178C
0145	0117C2
0146	011792
0147	0117A2
0147,0161	0117A2,0117B6
0148	0117D2,0117A0
0149	0117B8
014A	0117D2,011789
014B	011782
014D	0117C6
014E	01178E
014F	0117BF
0150	011797
0151	011788
0152	0117D2,01179A
0153	0117D2,011790
0154	011791
0154,014C	0117A1
0155	0117BC
0156	0117D2,01179C
0157	0117BA
0158	011783
0159	0117BD
015A	01178D
015B	0117B2,0117D2,011799
015C	0117AD
015D	0117AA
015F	0117CD
0161	0117B6
0162	011794
0163	011785
0164	01178A
0165	0117C1
0166	011790
0167	011784
0168	0117A0
0169	0117B7
016A	011789
016B	011780
016C	01179B
016D	011798
016E	011793
016F	0117C0
0170	011795
0171	011786
0172	01179A
0173	01179F
0174	01178F
0175	0117BB
0176	01179C
0177	0117B9
0178	011781
0179	011799
017A	01178B
017B	0117B1
017C	0117AE
017D	0117A5
01A1	017E
01A2	0117D2,011787
01A3	0117C8
01A4	0124
01A5	012D
01A6	0117AC
01A7	0117D2,011792
01A8	0117C9
01A9	0117D2,011785
01AA	0139
01AB	0117A7
01AB,012018	0117A8
01AB,015F	0117B3
01AB,0175	0117A9
01AC	0117AB
01AE	0117D2,01179A
01B0	0117C6
01B2	01201C
01B3	01201D
01B4	0117CB
01B5	0117D2,011798
01B6	0117D2,011784
01B9	011781,0117D2,011789,0117EA,0117BB,0117C6
01BA	0130
01BB	0117A6
01BC	0117C7
01BD	0117D6
01BE	0117CF
01BF	012E
01C1	011794,0117C5
01C4	0117D2,011788
01C5	0117BA
01C6	0117D2,01178D
01C7	0117D2,011783
01C9	0117AF
01CD	0117B8
01D0	0117D2,01178C
01D1	0117D2,01178E
01D3	0117BF
01D6	0117D2,011797
01D7	0178
01D8	0117D2,011789
01DA	0117BC
01DC	0117BD
01DE	0117D2,011791
01DF	0117D2,01179F
01E1	011794,0117B6
01E4	0117D2,011786
01E5	0117B9
01E6	0117D2,01178B
01E7	0117D2,011781
01E9	0117C3
01ED	0117B7
01F0	0117D2,0117A2
01F1	0117D2,011793
01F3	0117C0
01F6	0117D2,011795
01F7	013D
01F8	0117D2,01179B
01FA	0117BB
01FC	0117D2,011799
01FE	0117D2,01178F
