010153	01B1
0120,01AC	0117BC
0130	0117E0
0131	0117E1
0132	0117E2
0133	0117E3
0134	0117E4
0135	0117E5
0136	0117E6
0137	0117E7
0138	0117E8
0139	0117E9
0141	011780
0142	011781
0143	011782
0144	011783
0145	011784
0146	011785
0147	011786
0148	011787
0149	011788
014A	011789
014B	01178A
014C	01178B
014D	01178C
014E	01178D
014F	01178E
0150	01178F
0151	011790
0152	011791
0153	011792
0154	011793
0155	011794
0156	011795
0157	011796
0158	011797
0159	011798
015A	011799
0161	0117D2,011780
0162	0117D2,011781
0163	0117D2,011782
0164	0117D2,011783
0165	0117D2,011784
0166	0117D2,011785
0167	0117D2,011786
0168	0117D2,011787
0169	0117D2,011788
016A	0117D2,011789
016B	0117A1
016C	0117D2,01178B
016D	0117D2,01178C
016E	0117D2,01178D
016F	0117D2,01178E
0170	0117D2,01178F
0171	0117D2,011790
0172	0117D2,011791
0173	0117D2,011792
0174	0117D2,011793
0175	0117D2,011794
0176	0117D2,011795
0177	0117D2,011796
0178	0117D2,011797
0179	0117D2,011798
017A	0117D2,011799
017B	017B
017C	017C
017D	017D
017E	017E
01A1	0117B6
01A2	0117B7
01A4	0117B8
01A6	0117B9
01A8	0117BA
01AA	0117BB
01AB	0117BB
01AC	0117BC
01AE	0117BD
01AF	0117BD
01B0	0117BF
01B2	0117C0
01B3	0117C0
01B4	0117C1
01B5	0117C2
01B7	0117C3
01B8	0117C5
01B9	0117C6
01BB	0117B6,0117C6
01BC	0117C7
01BD	0117BB,0117C7
01BE	0117B6,0117C7
01BF	0117D7
01C0	01179A
01C1	01179B
01C2	01179C
01C3	01179F
01C4	0117A0
01C5	0117A2
01C5,01A1	0117A4
01C6	011789
01C7	011794
01C7,01A1	011794,0117B6
01C8	0117A5
01C9	0117A6
01CA	0117A7
01CB	0117A9
01CC	0117B1
01CD	0117B3
01CE	0117B1,0117D2,011799
01CF	0117B2,0117D2,011799
01D0	0117AB
01D1	0117AC
01D2	0117AD
01D3	0117AE
01D4	0117AF
01D5	0117B0
01D6	011781,0117D2,011789,0117BB,0117C6
01DA	01A9
01DB	01AE
01DC	012122
01DD	010192
01DE	01201C
01DF	01201D
01E0	0117D2,01179A
01E1	0117D2,01179B
01E2	0117D2,01179C
01E3	0117D2,01179F
01E4	0117D2,0117A0
01E5	0117D2,0117A2
01E6	0117D2,011789
01E7	0117D2,01179A
01E9	013F
01EA	012E
01EB	012C
01EC	012F
01ED	015C
01EE	0117CE
01EF	0117CA
01F0	0117D0
01F1	0117CD
01F2	0117CF
01F3	0117CC
01F4	0117CB
01F5	0117C9
01F6	0117C8
01F7	0117D6
01F8	01179A,0117D2,01178F,0117B7,0117CD
01F9	0117DB
01FA	01A5
01FB	01A3
01FE	0117D4
01FE,01C1,01FE	0117D8
01FF	0117D5
