0120,01B3	01A0,0117D6
012018	0117CA
012019	0117CC
0121	0131
0123	0133
0124	0134
0125	0135
0126	0137
0128	0139
0129	011794
0129,0141	011794,0117C5
0129,0161	011794,0117B6
012A	0138
012B	0117CE
012C	0117D2,011794
012D	012D
012E	0117D4
012E,016C,012E	0117D8
012F	012C
0130	0117E0
0131	0117E1
0132	0117E2
0133	0117E3
0134	0117E4
0135	0117E5
0136	0117E6
0137	0117E7
0138	0117E8
0139	0117E9
013A	0117C9
013B	0117CB
013C	0117D2,011796
013D	013D
013E	012E
0140	0132
0141	0117C5
0142	011796
0142,01A3	0117AD
0142,01A4	0117AE
0142,01A7	0117B0
0143	011787
0144	01178C
0145	0117C2
0146	011792
0147	0117A2
0147,0161	0117A2,0117B6
0148	0117C7
0149	0117B8
014A	0117D2,011789
014B	011782
014C	0117A1
014D	0117C6
014E	01178E
014F	0117BF
0150	011797
0151	011788
0152	0117D2,01179A
0153	0117D2,01179F
0154	011791
0155	0117BC
0156	0117D2,01179C
0157	0117BA
0158	011783
0159	0117BD
015A	01178D
015B	0117B1,0117D2,011799
015C	0117A5
015D	0117A7
015D,012018	0117A8
015D,015F	0117B3
015D,0175	0117A9
015E	0136
015F	0117CD
0160	0117DB
0161	0117B6
0162	011794
0162,01A3	0117AB
0162,01A4	0117AC
0163	011785
0164	01178A
0165	0117C1
0166	011790
0167	011784
0168	0117A0
0169	0117B7
016A	011789
016B	011780
016C	01179B
016D	011798
016E	011793
016F	0117C0
0170	011795
0171	011786
0172	01179A
0173	01179F
0174	01178F
0175	0117BB
0176	01179C
0177	0117B9
0178	011781
0179	011799
017A	01178B
017B	01201C
017C	0117A6
017D	01201D
01A1	0121
01A2	0117D2,011787
01A3	0117D2,011789
01A4	0117D2,011789,0117BB
01A5	0117D2,0117A2
01A6	0129
01A7	0117D2,011792
01A9	0117D2,011785
01AB	0117AA
01AC	0128
01AE	0117D2,01179A
01B0	0125
01B2	0117D7
01B3	0117C8
01B4	011781,0117D2,011789,0117BB,0117C6
01B5	0117D2,011798
01B6	0117D2,011784
01B9	0117DB
01BB	0117B1
01BC	012F
01BD	0117D0
01BE	0117CF
01BF	0117C6
01C1	0117D2,011782
01C4	0117D2,011788
01C5	0117BA
01C6	0117D2,01178D
01C7	0117D2,011783
01C9	0117AF
01CD	0117B8
01D0	0117D2,01178C
01D1	0117D2,01178E
01D3	0117BF
01D6	0117D2,011797
01D7	0117B7,0117CD
01D8	0117D2,011789
01DA	0117BC
01DC	0117BD
01DE	0117D2,011791
01DF	0117D2,011790
01E1	0117D2,011780
01E4	0117D2,011786
01E5	0117B9
01E6	0117D2,01178B
01E7	0117D2,011781
01E9	0117C3
01ED	0117B7
01F0	0117D2,0117A0
01F1	0117D2,011793
01F3	0117C0
01F6	0117D2,011795
01F7	012B
01F8	0117D2,01179B
01FA	0117BB
01FC	0117D2,011799
01FE	0117D2,01178F
