010152	013F
010153	0117D2,01178D
010178	0131
010192	0117AB
0102C6	011789
0102DC	0136
012013	01D7
012014	012D
012018	0117C6
012019	017D
01201A	0129
01201C	0117CE
01201D	017B
01201E	012E
012021	015E
012022	0117B8
012026	0117D2,01178F
012030	0117A9
012039	0123
01203A	0124
0121	0117E1
0122	0117D2,011783
0123	0117E3
0124	0117E4
0125	0117E5
0126	0117E7
0127	011783
0128	0117E9
0129	0117E0
012A	0117E8
012B	0117D2,011784
012C	0117BC
012D	0117D2,011785
012E	0117BD
012F	0117D2,011798
0130	0117D7
0131	0117A0
0132	011787
0133	011782
0134	011797
0135	011781
0136	011792
0137	011791
0138	01179C
0139	011784
013A	0117D2,011787
013B	011795
013C	0117BC
013D	0117D2,0117A2
013E	0117BD
013F	0117D2,011782
0140	0117E2
0141	0117AF
0142	011794
0143	0117D2,011790
0144	0117C3
0145	0117BA
0146	0117C8
0147	0117D2,01179A
0148	0117C7
0149	0117C0
014A	0117D2,01178F
014B	0117D2,01179F
014C	0117D2,011799
014D	0117BB
014E	0117D2,011780
014F	0117D2,011794
0150	0117C5
0151	0117D2,011791
0152	0117B9
0153	0117C2
0154	0117B8
0155	0117BF
0156	0117D2,011789
0157	0117D2,01178C
0158	0117D2,011786
0159	0117B7
015A	0117D2,011788
015B	0117B6,0117C6
015C	0117D4
015C,0168,015C	0117D8
015D	0117C6
015E	0117E6
015F	0117D2,01178E
0160	0117D2,01179C
0161	0117CB
0162	0117A2
0163	011790
0164	0117D2,01179A
0165	0117A1
0166	011785
0167	01179A
0168	01179B
0169	01178F
016A	01178A
016B	01179F
016C	011799
016D	0117BB
016E	01178E
016F	011794
0170	0117B6
0171	0117C9
0172	011798
0173	0117C1
0174	011780
0175	011796
0176	011789
0176,0156	011789
0177	0117D2,011792
0178	011786
0179	011793
017A	011788
017B	0117D2,01179B
017C	0117D5
017D	0117D2,011781
017E	0117D2,011795
01A1	012C
01A2	01AB
01A4	0117D6
01A5	0117AA
01A6	017C
01A7	012F
01A8	012022
01A9	0117AC
01AA	0117B9
01AB	015F
01AC	0117D2,011793
01AE	0117A7
01AF	0138
01B0	012A
01B1	012B
01B2	012019
01B3	012018
01B4	0117D2,01179C
01B5	0117CF
01B6	0117B7
01B7	0128
01B8	0131
01B9	0125
01BA	0117BA
01BB	0117D2,01178B
01BE	01BE
01BF	0130
01C0	0135
01C2	0137
01C3	0139
01C4	013D
01C5	0117A0,0117CA
01C7	0133
01CA	01179A,0117C9
01CB	0132
01CC	015C
01CD	011789,0117C9
01CE	011798,0117C9
01CF	01179C,0117C9
01D1	0117CC
01D2	011799,0117C9
01D3	011794,0117C9
01D4	011794,0117CA
01D5	0117BB,0117C6
01D6	0117CD
01D8	015B
01D9	0117DA
01DA	0117A2,0117CA
01DB	012026
01DC	0117CF
01DD	01201C
01DE	01201D
01DF	0117AD
01E0	01178C
01E1	0117AE
01E2	015D
01E3	0117A5
01E4	0117B7,0117CD
01E5	0117D2,0117AB
01E6	0117D2,0117A0
01E7	01178B
01E8	0117B1
01E9	01178D
01EA	0117CA,0117D0
01EB	0117D2,011789,0117BC
01EC	0117D2,01179F
01ED	0117D2,011799
01EE	01C0
01EF	0117A6
01F0	012260
01F1	0117D0
01F2	0117B0
01F3	0117D2,011789
01F4	0117BB,0117C6
01F5	0121
01F6	0134
01F7	0117D2,011798
01F8	0117CA
01F9	0117DB
01FA	0125
01FB	01179F,0117CA
01FC	0117BF
01FF	0117D2,011796
